,ref_type,ref_scale,deblurr,variance_img_diff,powerDropoff,covfrac,amp,logcamp
372,dime,2,True,0.0005,5.0,0.5,0.5,0.0
373,dime,2,True,0.0005,5.0,0.5,0.5,0.5
374,dime,2,True,0.0005,5.0,0.5,0.5,1.0
375,dime,2,True,0.0005,5.0,0.5,1.0,0.0
376,dime,2,True,0.0005,5.0,0.5,1.0,0.5
377,dime,2,True,0.0005,5.0,0.5,1.0,1.0
378,dime,2,True,5e-06,3.0,0.33,0.1,0.0
379,dime,2,True,5e-06,3.0,0.33,0.1,0.5
380,dime,2,True,5e-06,3.0,0.33,0.1,1.0
381,dime,2,True,5e-06,3.0,0.33,0.5,0.0
382,dime,2,True,5e-06,3.0,0.33,0.5,0.5
383,dime,2,True,5e-06,3.0,0.33,0.5,1.0
384,dime,2,True,5e-06,3.0,0.33,1.0,0.0
385,dime,2,True,5e-06,3.0,0.33,1.0,0.5
386,dime,2,True,5e-06,3.0,0.33,1.0,1.0
387,dime,2,True,5e-06,3.0,0.5,0.1,0.0
388,dime,2,True,5e-06,3.0,0.5,0.1,0.5
389,dime,2,True,5e-06,3.0,0.5,0.1,1.0
390,dime,2,True,5e-06,3.0,0.5,0.5,0.0
391,dime,2,True,5e-06,3.0,0.5,0.5,0.5
392,dime,2,True,5e-06,3.0,0.5,0.5,1.0
393,dime,2,True,5e-06,3.0,0.5,1.0,0.0
394,dime,2,True,5e-06,3.0,0.5,1.0,0.5
395,dime,2,True,5e-06,3.0,0.5,1.0,1.0
396,dime,2,True,5e-06,4.0,0.33,0.1,0.0
397,dime,2,True,5e-06,4.0,0.33,0.1,0.5
398,dime,2,True,5e-06,4.0,0.33,0.1,1.0
399,dime,2,True,5e-06,4.0,0.33,0.5,0.0
400,dime,2,True,5e-06,4.0,0.33,0.5,0.5
401,dime,2,True,5e-06,4.0,0.33,0.5,1.0
402,dime,2,True,5e-06,4.0,0.33,1.0,0.0
403,dime,2,True,5e-06,4.0,0.33,1.0,0.5
404,dime,2,True,5e-06,4.0,0.33,1.0,1.0
405,dime,2,True,5e-06,4.0,0.5,0.1,0.0
406,dime,2,True,5e-06,4.0,0.5,0.1,0.5
407,dime,2,True,5e-06,4.0,0.5,0.1,1.0
408,dime,2,True,5e-06,4.0,0.5,0.5,0.0
409,dime,2,True,5e-06,4.0,0.5,0.5,0.5
410,dime,2,True,5e-06,4.0,0.5,0.5,1.0
411,dime,2,True,5e-06,4.0,0.5,1.0,0.0
412,dime,2,True,5e-06,4.0,0.5,1.0,0.5
413,dime,2,True,5e-06,4.0,0.5,1.0,1.0
414,dime,2,True,5e-06,5.0,0.33,0.1,0.0
415,dime,2,True,5e-06,5.0,0.33,0.1,0.5
416,dime,2,True,5e-06,5.0,0.33,0.1,1.0
417,dime,2,True,5e-06,5.0,0.33,0.5,0.0
418,dime,2,True,5e-06,5.0,0.33,0.5,0.5
419,dime,2,True,5e-06,5.0,0.33,0.5,1.0
420,dime,2,True,5e-06,5.0,0.33,1.0,0.0
421,dime,2,True,5e-06,5.0,0.33,1.0,0.5
422,dime,2,True,5e-06,5.0,0.33,1.0,1.0
423,dime,2,True,5e-06,5.0,0.5,0.1,0.0
424,dime,2,True,5e-06,5.0,0.5,0.1,0.5
425,dime,2,True,5e-06,5.0,0.5,0.1,1.0
426,dime,2,True,5e-06,5.0,0.5,0.5,0.0
427,dime,2,True,5e-06,5.0,0.5,0.5,0.5
428,dime,2,True,5e-06,5.0,0.5,0.5,1.0
429,dime,2,True,5e-06,5.0,0.5,1.0,0.0
430,dime,2,True,5e-06,5.0,0.5,1.0,0.5
431,dime,2,True,5e-06,5.0,0.5,1.0,1.0
432,dime,2,True,5e-08,3.0,0.33,0.1,0.0
433,dime,2,True,5e-08,3.0,0.33,0.1,0.5
434,dime,2,True,5e-08,3.0,0.33,0.1,1.0
435,dime,2,True,5e-08,3.0,0.33,0.5,0.0
436,dime,2,True,5e-08,3.0,0.33,0.5,0.5
437,dime,2,True,5e-08,3.0,0.33,0.5,1.0
438,dime,2,True,5e-08,3.0,0.33,1.0,0.0
439,dime,2,True,5e-08,3.0,0.33,1.0,0.5
